LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
CLINTON,GRAND UNION,2 GORMAN WAY,PERU,NY,12972,PERU,CLINTON,GROCERY SUPERMARKET,07/10/2023,"2 GORMAN WAY
PERU, NY 12972
(44.577028232, -73.525724408)"
DUTCHESS,CHESTNUT MARTS,3997 ROUTE 22,WASSAIC,NY,12592,AMENIA,DUTCHESS,CONVENIENCE/GAS,07/10/2023,"3997 ROUTE 22
WASSAIC, NY 12592
(41.790814801, -73.553360632)"
NYC,2918 GAS CORP,2918 BOSTON ROAD,BRONX,NY,10469,BRONX,NEW YORK CITY,OTHER,07/10/2023,"2918 BOSTON ROAD
BRONX, NY 10469
(40.868058834, -73.858776062)"
NYC,MAHANT 385 INC,385 CANAL STREET,NEW YORK,NY,10013,MANHATTAN,NEW YORK CITY,TOBACCO RETAIL,07/10/2023,"385 CANAL STREET
NEW YORK, NY 10013
(40.721667889, -74.004767693)"
NYC,SHISHA KING CORP,656 SUTTER AVENUE,BROOKLYN,NY,11207,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"656 SUTTER AVENUE
BROOKLYN, NY 11207
(40.669383086, -73.894472157)"
NYC,TUNI'S SERVICE CORP,306 18TH STREET,BROOKLYN,NY,11215,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"306 18TH STREET
BROOKLYN, NY 11215
(40.661722613, -73.989687559)"
NYC,"VISHWA NEWS, INC.",17 BOND STREET,BROOKLYN,NY,11201,BROOKLYN,NEW YORK CITY,STAND,07/10/2023,"17 BOND STREET
BROOKLYN, NY 11201
(40.689173136, -73.983153782)"
PUTNAM,76 GAS,2 TOWNERS ROAD,CARMEL,NY,10512,KENT,PUTNAM,GAS STATION,07/10/2023,"2 TOWNERS ROAD
CARMEL, NY 10512
(41.449989058, -73.671833805)"
SUFFOLK,MOBIL,451 W MAIN ST,PATCHOGUE,NY,117,BROOKHAVEN,SUFFOLK,GAS STATION,07/10/2023,"451 W MAIN ST
PATCHOGUE, NY 117
(40.760975695, -73.029896708)"
SUFFOLK,THE WHALE BONE,3495 NOYAC RD,,NY,,SOUTHAMPTON,SUFFOLK,OTHER,07/10/2023,"3495 NOYAC RD, NY
(40.995954451, -72.339820222)"
ULSTER,Z'ZZZ SMOKE SHOP,587 BROADWAY,KINGSTON,NY,12401,KINGSTON,ULSTER,CONVENIENCE STORE,07/10/2023,"587 BROADWAY
KINGSTON, NY 12401
(41.92920407200006, -74.00372315099997)"
SUFFOLK,AGUA EXPRESS LAUNDRO MINI MARKET,207 LOWNDES AVENUE,HUNTINGTON STATION,NY,11746,HUNTINGTON,SUFFOLK,OTHER,07/10/2023,"207 LOWNDES AVENUE
HUNTINGTON STATION, NY 11746
(40.853191894, -73.413799849)"
ERIE,MOBIL MART (LHP FOOD MART),3932 SOUTH PARK  AVENUE,BLASDELL,NY,14219,HAMBURG,ERIE,CONVENIENCE/GAS,07/10/2023,"3932 SOUTH PARK  AVENUE
BLASDELL, NY 14219
(42.790346864, -78.823283687)"
NYC,JAMAST HOLDING CORP,161-17 29TH AVENUE,FLUSHING,NY,11358,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"161-17 29TH AVENUE
FLUSHING, NY 11358
(40.771400067, -73.802775896)"
BROOME,QUICKWAY #30,1724 US 11 ROUTE,KIRKWOOD,NY,13795,KIRKWOOD,BROOME,CONVENIENCE/GAS,07/10/2023,"1724 US 11 ROUTE
KIRKWOOD, NY 13795
(42.039035722, -75.794293323)"
SCHOHARIE,CLOUDS NINE SMOKE SHOP,795 EAST MAIN  STREET,COBLESKIL,NY,12043,COBLESKILL,SCHOHARIE,TOBACCO RETAIL,07/10/2023,"795 EAST MAIN  STREET
COBLESKIL, NY 12043
(42.680633242, -74.473966851)"
WESTCHESTER,QUICK STOP OF SHRUB OAK INC.,930 EAST MAIN STREET,SHRUB OAK,NY,10588,YORKTOWN,WESTCHESTER,CONVENIENCE/GAS,07/10/2023,"930 EAST MAIN STREET
SHRUB OAK, NY 10588
(41.331308182, -73.821623779)"
WESTCHESTER,NEPPERHAN GROCERY & DELI INC.,217 ASHBURTON  AVENUE,YONKERS,NY,10701,YONKERS,WESTCHESTER,DELICATESSEN,07/10/2023,"217 ASHBURTON  AVENUE
YONKERS, NY 10701
(40.939342687, -73.886859964)"
CAYUGA,TOPS MARKETS #504 FUEL KIOSK,352 WEST GENESEE STREET,AUBURN,NY,13021,AUBURN,CAYUGA,GAS STATION,07/10/2023,"352 WEST GENESEE STREET
AUBURN, NY 13021
(42.918785784, -76.590434535)"
45,MORNING LINE,267 UNION AVENUE,SARATOGA SPRINGS,NY,12866,SARATOGA SPGS.,SARATOGA,RESTAURANT/ATUPA,07/10/2023,"267 UNION AVENUE
SARATOGA SPRINGS, NY 12866
(43.074055679, -73.764355264)"
NYC,"SEASONED,LLC",480 7 AVENUE,NEW YORK,NY,10018,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"480 7 AVENUE
NEW YORK, NY 10018
(40.752272648, -73.989930383)"
WESTCHESTER,JOHN A. HANNA & SONS INC.,497 NEW ROCHELLE ROAD,BRONXVILLE,NY,10708,EASTCHESTER,WESTCHESTER,GAS STATION,07/10/2023,"497 NEW ROCHELLE ROAD
BRONXVILLE, NY 10708
(40.929235956, -73.809224094)"
WESTCHESTER,ALL FRESH FOOD CORP.,55 PALISADE AVENUE,YONKERS,NY,10701,YONKERS,WESTCHESTER,GROCERY SUPERMARKET,07/10/2023,"55 PALISADE AVENUE
YONKERS, NY 10701
(40.935031288, -73.895033241)"
NYC,"181 GERMAN DELI, INC.",815 WEST 181TH AVENUE,NEW YORK,NY,10033,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"815 WEST 181TH AVENUE
NEW YORK, NY 10033
(40.851206682, -73.938833379)"
NYC,60 ST SMOKE SHOP,480 60TH STREET,BROOKLYN,NY,11220,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"480 60TH STREET
BROOKLYN, NY 11220
(40.639525322, -74.016474194)"
NYC,DELI GRILL VAPE AND CONVENIENCES INC,1510 CORTELYOU ROAD,BROOKLYN,NY,11226,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1510 CORTELYOU ROAD
BROOKLYN, NY 11226
(40.64119881, -73.964131639)"
NYC,37 SMOKE SHOP INC,357 WEST 37TH STREET,MANHATTAN,NY,10018,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"357 WEST 37TH STREET
MANHATTAN, NY 10018
(40.755252331, -73.99456063)"
SUFFOLK,PRIME MARINA,6 TEEPEE ST STREET,HAMPTON BAYS,NY,11946,SOUTHAMPTON,SUFFOLK,BAR/LOUNGE,07/10/2023,"6 TEEPEE ST STREET
HAMPTON BAYS, NY 11946
(40.881935284, -72.498077095)"
NYC,"NINTH AVENUE GROCERY, INC.",486 9TH AVENUE,NEW YORK,NY,10018,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"486 9TH AVENUE
NEW YORK, NY 10018
(40.755385771, -73.994624416)"
NYC,YESENIA A. RODRIGUEZ & MARCO A. TAVA,120 GRATTAN STREET,BROOKLYN,NY,11237,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"120 GRATTAN STREET
BROOKLYN, NY 11237
(40.706135216, -73.928182076)"
ORANGE,KWIK STOP FOODS,110  NORTH CHURCH  STREET,GOSHEN,NY,10924,GOSHEN,ORANGE,CONVENIENCE STORE,07/10/2023,"110  NORTH CHURCH  STREET
GOSHEN, NY 10924
(41.403475195, -74.325646057)"
ERIE,PARKSIDE MINI MART,1150 SHERIDAN DRIVE,TONAWANDA,NY,14150,TONAWANDA,ERIE,DELICATESSEN,07/10/2023,"1150 SHERIDAN DRIVE
TONAWANDA, NY 14150
(42.98104895, -78.892392814)"
NYC,GNP SUNIL CORP,585 WEST 235TH STREET,BRONX,NY,10463,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"585 WEST 235TH STREET
BRONX, NY 10463
(40.885983743000054, -73.91116220199996)"
HORNELL DO,DOLLAR GENERAL STORE #7420 RTE 415,7078 NEW YORK 415 NORTH,BATH,NY,14810,BATH,STEUBEN,DISCOUNT STORE,07/10/2023,"7078 NEW YORK 415 NORTH
BATH, NY 14810
(42.344210638, -77.338444794)"
ROCKLAND,TITANIC DELI,15 SOUTH ROUTE 303,CONGERS,NY,10920,CLARKSTOWN,ROCKLAND,DELICATESSEN,07/10/2023,"15 SOUTH ROUTE 303
CONGERS, NY 10920
(41.14598614700003, -73.93390523899996)"
NYC,J & E DYNAMIC STORE INC.,147-14 JAMAICA AVENUE,JAMAICA,NY,11435,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"147-14 JAMAICA AVENUE
JAMAICA, NY 11435
(40.701662884, -73.807328862)"
NYC,198 BAINBRIDGE DELI & GROCERY CORP,2839 BAINBRIDGE AVENUE,BRONX,NY,10458,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2839 BAINBRIDGE AVENUE
BRONX, NY 10458
(40.868527759000074, -73.88852251399999)"
CORTLAND,MIRABITO #111,4 BROOME STREET,MARATHON,NY,13803,MARATHON,CORTLAND,CONVENIENCE/GAS,07/10/2023,"4 BROOME STREET
MARATHON, NY 13803
(42.441316319, -76.032088999)"
ERIE,7-ELEVEN # 35183 A,4950 HARLEM ROAD,AMHERST,NY,14226,AMHERST,ERIE,CONVENIENCE/GAS,07/10/2023,"4950 HARLEM ROAD
AMHERST, NY 14226
(42.976893872, -78.784460304)"
WATERTOWN DO,TOPS - LOWVILLE,7495 TURIN ROAD SUITE 2,LOWVILLE,NY,13367,LOWVILLE,LEWIS,GROCERY SUPERMARKET,07/10/2023,"7495 TURIN ROAD SUITE 2
LOWVILLE, NY 13367
(43.778595646, -75.486094523)"
NYC,226 SMOKE SHOP,226 KNICKERBOCKER AVENUE,BROOKLYN,NY,11237,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"226 KNICKERBOCKER AVENUE
BROOKLYN, NY 11237
(40.702985297, -73.925912256)"
NYC,3RD AVE ORGANIC 1 CORP.,7910 3RD AVENUE,BROOKLYN,NY,11209,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"7910 3RD AVENUE
BROOKLYN, NY 11209
(40.628332882, -74.029241006)"
CHEMUNG,DOLLAR GENERAL #25090,424 SOUTH MAIN STREET,ELMIRA,NY,14904,ELMIRA,CHEMUNG,CONVENIENCE STORE,07/10/2023,"424 SOUTH MAIN STREET
ELMIRA, NY 14904
(42.078122553, -76.803795545)"
NYC,"NUNEZ, GERARDO",2856 VALENTINE AVENUE,BRONX,NY,10458,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2856 VALENTINE AVENUE
BRONX, NY 10458
(40.869614263, -73.889573521)"
HERKIMER DO,CANADA LAKE STORE & MARINE,103 OLD STATE ROAD,CAROGA LAKE,NY,12032,CAROGA,FULTON,CONVENIENCE/GAS,07/10/2023,"103 OLD STATE ROAD
CAROGA LAKE, NY 12032
(43.174000528, -74.51338954)"
NYC,D' MI MUNECA GROCERY CORP,592 TRINITY AVENUE,BRONX,NY,10455,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"592 TRINITY AVENUE
BRONX, NY 10455
(40.813940824, -73.909710959)"
SUFFOLK,MOBIL,271 PORTION RD,RONKONKOMA,NY,11779,BROOKHAVEN,SUFFOLK,GAS STATION,07/10/2023,"271 PORTION RD
RONKONKOMA, NY 11779
(40.827750052000056, -73.10204208499994)"
NYC,NY1 GRILL AND DELI INC,1983 AMSTERDAM AVENUE,NEW YORK,NY,10032,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1983 AMSTERDAM AVENUE
NEW YORK, NY 10032
(40.833651179, -73.941376595)"
NYC,LISA DELI & GROCERY 2019 CORP,411 MYRTLE AVENUE,BROOKLYN,NY,11205,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"411 MYRTLE AVENUE
BROOKLYN, NY 11205
(40.693242844, -73.969372089)"
GENEVA DO,SPEEDWAY / ONTARIO,6290 SLOCUM RD,ONTARIO,NY,14519,ONTARIO,WAYNE,CONVENIENCE/GAS,07/10/2023,"6290 SLOCUM RD
ONTARIO, NY 14519
(43.22677517, -77.323196352)"
ORANGE,STOP & SHOP #524,60 BROTHERHOOD PLAZA,WASHINGTONVILLE,NY,10992,BLOOMING GR.,ORANGE,GROCERY SUPERMARKET,07/10/2023,"60 BROTHERHOOD PLAZA
WASHINGTONVILLE, NY 10992
(41.430104096, -74.161868944)"
WESTCHESTER,30 CKS DELI CORP.,1 PALISADE AVENUE,YONKERS,NY,10701,YONKERS,WESTCHESTER,DELICATESSEN,07/10/2023,"1 PALISADE AVENUE
YONKERS, NY 10701
(40.933849061, -73.897726369)"
NYC,A K A CONVENIENCE STORE INC,9811 4TH AVENUE,BROOKLYN,NY,11209,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"9811 4TH AVENUE
BROOKLYN, NY 11209
(40.6136397, -74.032731649)"
PUTNAM,MAHOPAC DELI,41 SECOR ROAD,MAHOPAC,NY,10541,CARMEL,PUTNAM,DELICATESSEN,07/10/2023,"41 SECOR ROAD
MAHOPAC, NY 10541
(41.371347402, -73.793615398)"
MONTICELLO DO,MR. VAPE GURU,73 PLEASANT STREET,MONTICELLO,NY,12701,THOMPSON,SULLIVAN,TOBACCO RETAIL,07/10/2023,"73 PLEASANT STREET
MONTICELLO, NY 12701
(41.65907057, -74.679918615)"
NYC,SHIVAM 105 DELI INC.,150-09 BAYSIDE AVENUE,FLUSHING,NY,11354,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"150-09 BAYSIDE AVENUE
FLUSHING, NY 11354
(40.771648339, -73.815492165)"
NASSAU,BP / VJS PETROLEUM CORP.,2030 SUNRISE HIGHWAY,MERRICK,NY,11566,HEMPSTEAD,NASSAU,CONVENIENCE/GAS,07/10/2023,"2030 SUNRISE HIGHWAY
MERRICK, NY 11566
(40.662760083, -73.551307066)"
DUTCHESS,STOP & SHOP #517(STOP & SHOP SUPERMARKET CO.LLC),1328 BEEKMAN ROAD,HOPEWELL JUNCTION,NY,12533,BEEKMAN,DUTCHESS,GROCERY SUPERMARKET,07/10/2023,"1328 BEEKMAN ROAD
HOPEWELL JUNCTION, NY 12533
(41.627261155, -73.696279961)"
NYC,JAS MINIMART INC,578 RALPH AVENUE,BROOKLYN,NY,11233,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"578 RALPH AVENUE
BROOKLYN, NY 11233
(40.66939943, -73.922679356)"
WESTCHESTER,"DTS AMOCO, INC.",619 TUCKAHOE  ROAD,YONKERS,NY,10701,YONKERS,WESTCHESTER,CONVENIENCE/GAS,07/10/2023,"619 TUCKAHOE  ROAD
YONKERS, NY 10701
(40.954029039, -73.845539696)"
DUTCHESS,"MY MARKET (MAXIMO POK, INC.)",53 RAYMOND AVENUE,POUGHKEEPSIE,NY,12603,POUGHKEEPSIE,DUTCHESS,CONVENIENCE STORE,07/10/2023,"53 RAYMOND AVENUE
POUGHKEEPSIE, NY 12603
(41.692004023, -73.900794878)"
NASSAU,BROTHERS 3 DELI CORP.,205 HARVARD  STREET,HEMPSTEAD,NY,11550,HEMPSTEAD,NASSAU,DELICATESSEN,07/10/2023,"205 HARVARD  STREET
HEMPSTEAD, NY 11550
(40.715482044, -73.61333382)"
GENESEE,EMPIRE SMOKE SHOP INC.,128 MAIN  STREET,LEROY,NY,14482,LEROY,GENESEE,TOBACCO RETAIL,07/10/2023,"128 MAIN  STREET
LEROY, NY 14482
(42.979590377, -77.97674129)"
NYC,L E S GROCERY CORP,57 PITT STREET,MANHATTAN,NY,10002,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"57 PITT STREET
MANHATTAN, NY 10002
(40.717735477, -73.982968207)"
SUFFOLK,STOGIE'S CIGAR LOUNGE,1735 DEER PARK AVE.,DEER PARK,NY,11729,BABYLON,SUFFOLK,TOBACCO RETAIL,07/10/2023,"1735 DEER PARK AVE.
DEER PARK, NY 11729
(40.755520962, -73.326643919)"
NYC,MASPETH CONVENIENCE STORE CORP,69-12 GRAND AVENUE,MASPETH,NY,11378,QUEENS,NEW YORK CITY,TOBACCO RETAIL,07/10/2023,"69-12 GRAND AVENUE
MASPETH, NY 11378
(40.726051457, -73.894851941)"
CATTARAUGUS,"DOLLAR GENERAL - E. STATE ST., OLEAN",1511 EAST STATE ST.,OLEAN,NY,14760,OLEAN,CATTARAUGUS,DISCOUNT STORE,07/10/2023,"1511 EAST STATE ST.
OLEAN, NY 14760
(42.073104434, -78.40192751)"
NYC,DELI FARMS CORPORATION,850 LONGWOOD AVENUE,BRONX,NY,10459,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"850 LONGWOOD AVENUE
BRONX, NY 10459
(40.819306784, -73.901338816)"
WESTCHESTER,LA COSTENA DELI CORP.,107 MC LEAN AVENUE,YONKERS,NY,10701,YONKERS,WESTCHESTER,DELICATESSEN,07/10/2023,"107 MC LEAN AVENUE
YONKERS, NY 10701
(40.9175085, -73.892212144)"
WESTCHESTER,MELANIE II CORP.,808 ELM STREET,PEEKSKILL,NY,10566,PEEKSKILL,WESTCHESTER,DELICATESSEN,07/10/2023,"808 ELM STREET
PEEKSKILL, NY 10566
(41.286942475, -73.921274382)"
TOMPKINS,ROGAN'S CONERS,825 DANBY ROAD,ITHACA,NY,14850,ITHACA,TOMPKINS,CONVENIENCE/GAS,07/10/2023,"825 DANBY ROAD
ITHACA, NY 14850
(42.428540798, -76.49742198)"
NYC,"KLEYNBURG, ROMAN",50-92 NORTHERN BOULEVARD,LONG ISLAND CITY,NY,11101,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"50-92 NORTHERN BOULEVARD
LONG ISLAND CITY, NY 11101
(40.752648325, -73.91082131)"
NASSAU,MIDDLE STOP DELI & GROCERY,1194 WOODFIELD ROAD,ROCKVILLE CENTRE,NY,11570,HEMPSTEAD,NASSAU,DELICATESSEN,07/10/2023,"1194 WOODFIELD ROAD
ROCKVILLE CENTRE, NY 11570
(40.671644942, -73.653440221)"
NYC,FAZZIA INC,11211 LIBERTY  AVENUE,SOUTH RICHMOND HILL,NY,11419,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"11211 LIBERTY  AVENUE
SOUTH RICHMOND HILL, NY 11419
(40.685443902, -73.829987493)"
ORANGE,SMOKE HOUSE OF CHESTER,69 BROOKSIDE  AVENUE,CHESTER,NY,10918,CHESTER,ORANGE,TOBACCO RETAIL,07/10/2023,"69 BROOKSIDE  AVENUE
CHESTER, NY 10918
(41.35437518, -74.281260443)"
NASSAU,HOLIDAY FARMS,8285 JERICHO TURNPIKE,WOODBURY,NY,11797,OYSTER BAY,NASSAU,GROCERY SUPERMARKET,07/10/2023,"8285 JERICHO TURNPIKE
WOODBURY, NY 11797
(40.817642818, -73.467554838)"
NASSAU,7 ELEVEN ( STORE # 27322B ),1800 MERRICK AVE,MERRICK,NY,11566,HEMPSTEAD,NASSAU,CONVENIENCE STORE,07/10/2023,"1800 MERRICK AVE
MERRICK, NY 11566
(40.67426311300005, -73.55690609399994)"
ERIE,DERIGO SALES.,3780 HARLEM ROAD,BUFFALO,NY,14215,BUFFALO,ERIE,OTHER,07/10/2023,"3780 HARLEM ROAD
BUFFALO, NY 14215
(42.94709671, -78.78469374)"
NYC,1920 KING GROCERY CORP,1920 NOSTRAND AVENUE,BROOKLYN,NY,11226,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1920 NOSTRAND AVENUE
BROOKLYN, NY 11226
(40.638811519, -73.948454714)"
NYC,TOP BK DELI CORP,245 RIVERDALE AVENUE,BROOKLYN,NY,11212,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"245 RIVERDALE AVENUE
BROOKLYN, NY 11212
(40.661190236, -73.908179418)"
CORTLAND,VIRGIL COUNTRY MARKET,1760 NYS ROUTE 392,CORTLAND,NY,13045,VIRGIL,CORTLAND,CONVENIENCE/GAS,07/10/2023,"1760 NYS ROUTE 392
CORTLAND, NY 13045
(42.510357778, -76.159302431)"
SUFFOLK,NANITOS DELI,1036 LITTLE EAST NECK RD.,WEST BABYLON,NY,11704,BABYLON,SUFFOLK,DELICATESSEN,07/10/2023,"1036 LITTLE EAST NECK RD.
WEST BABYLON, NY 11704
(40.724582905, -73.359780998)"
NYC,ROGER'S NEWS INC.,725 5TH AVENUE,NEW YORK,NY,10022,MANHATTAN,NEW YORK CITY,STAND,07/10/2023,"725 5TH AVENUE
NEW YORK, NY 10022
(40.7625339, -73.974061848)"
RENSSELAER,BEVERAGE BARN,402 5 TH AVENUE,TROY,NY,12180,TROY,RENSSELAER,LIQUOR/BEVERAGE STORE,07/10/2023,"402 5 TH AVENUE
TROY, NY 12180
(42.767436063, -73.676260791)"
ERIE,AREF DELI,1059 GRANT STREET,BUFFALO,NY,14207,BUFFALO,ERIE,DELICATESSEN,07/10/2023,"1059 GRANT STREET
BUFFALO, NY 14207
(42.940961911, -78.891400732)"
SUFFOLK,7-11,356 LAKE AVENUE,ST. JAMES,NY,11780,SMITHTOWN,SUFFOLK,CONVENIENCE STORE,07/10/2023,"356 LAKE AVENUE
ST. JAMES, NY 11780
(40.879291338, -73.157317887)"
WESTCHESTER,VIBRANT STAR INC.,752 YONKERS AVENUE,YONKERS,NY,10704,YONKERS,WESTCHESTER,DELICATESSEN,07/10/2023,"752 YONKERS AVENUE
YONKERS, NY 10704
(40.923198442, -73.864933344)"
ERIE,KEN-TON CONVENIENCE STORE,1310 SHERIDAN DRIVE,TONAWANDA,NY,14217,TONAWANDA,ERIE,CONVENIENCE/GAS,07/10/2023,"1310 SHERIDAN DRIVE
TONAWANDA, NY 14217
(42.981193663, -78.885931959)"
NYC,BOULEVARD NEWS LLC,20-01 FRANCIS LEWIS BOULEVARD,WHITESTONE,NY,11357,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"20-01 FRANCIS LEWIS BOULEVARD
WHITESTONE, NY 11357
(40.78024901, -73.80216737)"
NYC,204 HIGH CLOUD CONVENIENCE CORPORATI,357 EAST 204TH STREET,BRONX,NY,10467,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"357 EAST 204TH STREET
BRONX, NY 10467
(40.872078878, -73.877519757)"
RENSSELAER,HABANA PREMIMUM CIGAR SHOPPE,528 NORTH GREENBUSH ROAD,RENSSLAER,NY,12144,NO. GREENBUSH,RENSSELAER,BAR/LOUNGE,07/10/2023,"528 NORTH GREENBUSH ROAD
RENSSLAER, NY 12144
(42.651660062, -73.69610503)"
NYC,LUCKY GROCERY INC,4123 8TH AVENUE,BROOKLYN,NY,11232,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"4123 8TH AVENUE
BROOKLYN, NY 11232
(40.645613056, -73.998839256)"
NASSAU,"7 ELEVEN ( STORE # 11150G ) / SATSANG, INC.",635 POWELLS LANE,WESTBURY,NY,11590,N. HEMPSTEAD,NASSAU,CONVENIENCE STORE,07/10/2023,"635 POWELLS LANE
WESTBURY, NY 11590
(40.770892711, -73.577144534)"
DUTCHESS,DOLLAR GENERAL STORE #19230,258 HOOKER AVENUE,POUGHKEEPSIE,NY,12603,POUGHKEEPSIE,DUTCHESS,CONVENIENCE STORE,07/10/2023,"258 HOOKER AVENUE
POUGHKEEPSIE, NY 12603
(41.686435715, -73.910327868)"
SUFFOLK,MAC BBQ AND CATERING,50 TRACTION  BOULEVARD,PATCHOGUE,NY,11772,BROOKHAVEN,SUFFOLK,DELICATESSEN,07/10/2023,"50 TRACTION  BOULEVARD
PATCHOGUE, NY 11772
(40.785572273, -73.022281068)"
NYC,"DOLEH, HISHAM",1689 8TH AVENUE,BROOKLYN,NY,11215,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1689 8TH AVENUE
BROOKLYN, NY 11215
(40.659625209, -73.98426539)"
NYC,"ROZI, BAHADIR",20TH AVE & 86TH STREET,BROOKLYN,NY,11214,BROOKLYN,NEW YORK CITY,STAND,07/10/2023,"20TH AVE & 86TH STREET
BROOKLYN, NY 11214
(40.604599985, -73.998240034)"
ULSTER,SUNOCO,MILEPOST 96 SOUTH NY THRUWAY,LAKE KATRINE,NY,12449,ULSTER,ULSTER,CONVENIENCE/GAS,07/10/2023,"MILEPOST 96 SOUTH NY THRUWAY
LAKE KATRINE, NY 12449
(41.9864521, -73.992)"
NYC,173 EXOTIC CORP,17227 JAMAICA AVENUE,QUEENS,NY,11432,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"17227 JAMAICA AVENUE
QUEENS, NY 11432
(40.708026132, -73.786917671)"
NYC,ANDREA'S DELI GROCERY CORP.,1182 WEST FARMS ROAD,BRONX,NY,10459,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1182 WEST FARMS ROAD
BRONX, NY 10459
(40.828496963, -73.888311625)"
BROOME,MIRABITO #89,1596 MAIN STREET,VESTAL,NY,13850,VESTAL,BROOME,CONVENIENCE/GAS,07/10/2023,"1596 MAIN STREET
VESTAL, NY 13850
(42.052582618, -76.030514216)"
SCHOHARIE,DOLLAR GENERAL RICHMONDVILLE,393 MAIN  STREET,RICHMONMDVILLE,NY,12149,RICHMONDVILLE,SCHOHARIE,DISCOUNT STORE,07/10/2023,"393 MAIN  STREET
RICHMONMDVILLE, NY 12149
(42.636543174, -74.553276168)"
NYC,GREENLEAF CONVENIENCE CORP,423 THROOP AVENUE,BROOKLYN,NY,11221,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"423 THROOP AVENUE
BROOKLYN, NY 11221
(40.688388674, -73.941877435)"
MONTICELLO DO,PECKS MARKET OF JEFFERSONVILLE,4897 STATE ROUTE 52,JEFFERSONVILLE,NY,12748,CALLICOON,SULLIVAN,GROCERY SUPERMARKET,07/10/2023,"4897 STATE ROUTE 52
JEFFERSONVILLE, NY 12748
(41.778788991, -74.934610685)"
NIAGARA,TWIN CITY VAPES LLC,1029 PAYNE AVENUE,NORTH TONAWANDA,NY,14120,NO. TONAWANDA,NIAGARA,TOBACCO RETAIL,07/10/2023,"1029 PAYNE AVENUE
NORTH TONAWANDA, NY 14120
(43.051372908, -78.877189634)"
NYC,QUEENS ORGANIC DELI CORP,8428 164 STREET,QUEENS,NY,11432,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"8428 164 STREET
QUEENS, NY 11432
(40.714482209, -73.802637092)"
NYC,ANTHONY'S FAMOUS GOURMET DELI INC,169 EAST GUN HILL ROAD,BRONX,NY,10467,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"169 EAST GUN HILL ROAD
BRONX, NY 10467
(40.880994876, -73.877925022)"
ROCKLAND,ROSE DELI & NEWSPAPER INC,189 SOUTH MIDDLETOWN ROAD,NANUET,NY,10954,CLARKSTOWN,ROCKLAND,DELICATESSEN,07/10/2023,"189 SOUTH MIDDLETOWN ROAD
NANUET, NY 10954
(41.090295929, -74.013212554)"
